ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,CPI_Food_2016,CPI_Food_2017,CPI_Food_2018,CPI_Food_2019,CPI_Food_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020,Infant_Mortality_Rate_2016,Infant_Mortality_Rate_2017,Infant_Mortality_Rate_2018,Infant_Mortality_Rate_2019,Infant_Mortality_Rate_2020,Unemployment_2016,Unemployment_2017,Unemployment_2018,Unemployment_2019,Unemployment_2020,Access_To_Electricity_2016,Access_To_Electricity_2017,Access_To_Electricity_2018,Access_To_Electricity_2019,Access_To_Electricity_2020,Fertility_Rate_2016,Fertility_Rate_2017,Fertility_Rate_2018,Fertility_Rate_2019,Fertility_Rate_2020,Immunization_Measles_2016,Immunization_Measles_2017,Immunization_Measles_2018,Immunization_Measles_2019,Immunization_Measles_2020,Labor_Force_Gender_Ratio_2016,Labor_Force_Gender_Ratio_2017,Labor_Force_Gender_Ratio_2018,Labor_Force_Gender_Ratio_2019,Labor_Force_Gender_Ratio_2020,Corruption_Perception_Index_2020,Corruption_Perception_Index_2019,Corruption_Perception_Index_2018,Corruption_Perception_Index_2017,Corruption_Perception_Index_2016,Prevalence_of_undernourishment_2016,Prevalence_of_undernourishment_2017,Prevalence_of_undernourishment_2018,Prevalence_of_undernourishment_2019,Prevalence_of_undernourishment_2020
AFG,Afghanistan,4.0,63.1361,63.016,63.081,63.5645,62.5751,2.463660385,2.561424686,2.659188987,2.756953288,2.854717589,108.916832,113.832502,113.490296,119.067918,128.002089,78.81,42.59,78.91,12.586666,-24.142135,67.5,64.8,62.3,60.1,58.0,11.15799999,11.18000031,11.15200043,11.21700001,11.71000004,97.69999695,97.69999695,96.61613464,97.69999695,97.69999695,4.8,4.633,4.473,4.321,4.176,64.0,67.0,71.0,64.0,66.0,27.1038412375653,28.9361754413037,29.4739178697398,30.0098803224511,24.6858778957205,19.0,16.0,16.0,15.0,15.0,22.2,23.0,24.0,26.9,29.8
AGO,Angola,24.0,61.0923,61.6798,62.1438,62.4484,62.2612,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823,154.136774,183.757815,211.993524,252.263872,330.372845,-452.522619,-8749.300466,-6461.790581,-1749.052913,-1956.982582,84.1,80.6,77.3,74.2,71.5,7.412000179,7.407999992,7.421000004,7.421000004,8.333000183,41.81312943,43.01325989,45.29000092,45.64279938,46.89060974,5.686,5.6,5.519,5.442,5.371,45.0,42.0,50.0,51.0,44.0,93.8053547304643,93.9264828466799,94.1019195082736,94.3309199504084,93.4262284145821,27.0,26.0,19.0,19.0,18.0,15.4,15.4,15.7,17.9,20.8
ALB,Albania,8.0,78.8602,79.0473,79.1838,79.2825,76.9893,10.72752833,10.91069206,11.09698316,11.28645502,11.28645502,104.588667,107.497139,110.638289,113.430423,116.338895,1036.471408,1122.69405,1207.129445,1160.122963,1017.126096,9.4,9.4,9.5,9.7,9.8,15.42000008,13.61999989,12.30000019,11.47000027,13.32900047,99.88999939,99.88999939,100.0,100.0,100.0,1.659,1.638,1.617,1.597,1.58,96.0,96.0,94.0,95.0,91.0,76.6604881917464,74.5183571677263,76.1208647546987,77.829119439077,75.8574481545003,36.0,35.0,36.0,38.0,39.0,4.7,4.7,4.6,4.3,3.9
ARE,United Arab Emirates,784.0,79.3347,79.5036,79.6274,79.7262,78.9457,10.8426199,12.05539989,12.48400021,12.69402981,12.69402981,100.998062,104.268174,105.564297,104.435251,108.084044,-6106.627,-3705.723,-4694.006,-3351.498637,947.138965,7.4,7.2,7.0,6.8,6.6,1.639999986,2.460000038,2.351999998,2.230000019,3.187999964,100.0,100.0,100.0,100.0,100.0,1.491,1.448,1.413,1.387,1.369,99.0,99.0,99.0,99.0,99.0,54.9341874541192,56.7360933056163,54.0172796887255,53.9476897747383,52.4171051177432,71.0,71.0,70.0,71.0,66.0,6.3,6.4,6.2,6.0,5.6
ARG,Argentina,32.0,76.3077,76.833,76.9994,77.2845,75.8921,10.92819023,11.01644516,11.10470009,11.14726927,11.14726927,119.206012,143.476356,216.878531,340.091177,483.12659,1473.633407,10361.23124,10070.636,5123.845949,2888.722899,10.9,10.3,9.7,9.1,8.6,8.111000061,8.350000381,9.220000267,9.840000153,11.46000004,99.84957886,100.0,99.98957825,100.0,100.0,2.288,2.275,2.261,2.247,2.233,90.0,89.0,94.0,86.0,77.0,67.0664064718027,67.6967475057438,69.737121048085,70.4379197289097,70.5190413038846,42.0,45.0,40.0,39.0,36.0,2.6,3.1,3.4,3.5,3.7
ARM,Armenia,51.0,74.6639,74.9059,75.0645,75.4386,72.173,11.37989998,11.18758965,11.23515987,11.2827301,11.33030033,98.137571,103.525785,105.20448,104.877866,110.065339,263.213932,221.878286,247.133658,396.632618,144.575322,13.4,12.7,12.1,11.5,10.9,17.62000084,17.70000076,18.96999931,18.29999924,21.20599937,99.80000305,99.69999695,99.90000153,100.0,100.0,1.744,1.75,1.755,1.758,1.76,97.0,96.0,95.0,95.0,94.0,71.0751767702097,71.3920296807736,66.0791226833094,68.5374316759537,67.2182603892526,49.0,42.0,35.0,35.0,33.0,2.7,2.8,2.9,3.1,3.5
AUS,Australia,36.0,82.8707,83.0006,83.3871,83.11,84.3239,12.35210991,12.42234039,12.55362034,12.65668964,12.72681999,102.0419,101.84973,103.387085,106.077455,108.479571,46096.89194,38869.21733,60677.87796,29958.1441,10974.58167,3.8,3.8,3.7,3.7,3.7,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,100.0,100.0,100.0,100.0,100.0,1.752,1.741,1.74,1.657,1.581,95.0,94.0,94.0,94.0,93.0,84.0514207230873,84.6660105721004,85.2441495619991,85.7140863884792,85.965111246242,77.0,77.0,77.0,77.0,79.0,1.5,1.5,1.5,1.5,1.5
AUT,Austria,40.0,81.5925,81.6391,81.6862,81.9077,81.5036,12.11466026,12.15911961,12.20790482,12.25669003,12.25669003,101.1,104.3,105.1,106.0,109.0723,-6474.80789,4701.948504,-324.439639,-9926.827669,-14126.46004,3.6,3.6,3.6,3.6,3.6,6.010000229,5.5,4.849999905,4.489999771,5.360000134,100.0,100.0,100.0,100.0,100.0,1.53,1.52,1.47,1.46,1.44,95.0,96.0,94.0,95.0,95.0,83.723335382459,83.6853239749318,83.3114761068965,83.5567332700303,84.0869513565137,76.0,77.0,76.0,75.0,75.0,1.5,1.5,1.5,1.5,1.5
AZE,Azerbaijan,31.0,72.0039,72.2478,72.7601,73.1023,66.8679,10.55539989,10.54459953,10.54176044,10.5429697,10.5429697,124.781488,137.525291,137.288192,142.912168,148.740532,1926.0,303.0,-358.0,-927.8,-318.2,24.5,22.8,21.5,20.4,19.4,5.0,5.0,4.900000095,4.849999905,6.462999821,100.0,100.0,100.0,100.0,100.0,1.9,1.75,1.73,1.81,1.7,98.0,98.0,96.0,98.0,82.0,90.3326187877734,90.3518680445281,90.7093386426792,90.8177576735683,88.8703613779578,30.0,30.0,25.0,31.0,30.0,1.5,1.5,1.5,1.5,1.5
BEL,Belgium,56.0,81.2661,81.3618,81.4787,81.8311,80.7884,11.98532009,12.23692989,12.30630493,12.37567997,12.37567997,102.1507,104.2831,105.8205,106.2867,108.0026,22868.65467,-30406.34426,-8677.660575,1305.307654,-1789.822114,4.1,4.1,4.2,4.2,4.2,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,100.0,100.0,100.0,100.0,100.0,1.68,1.65,1.62,1.6,1.55,96.0,96.0,96.0,96.0,96.0,81.3550624604442,82.3526476775414,83.8767093940339,84.2876271052249,84.3573143972422,76.0,75.0,75.0,75.0,77.0,1.5,1.5,1.5,1.5,1.5
BEN,Benin,204.0,59.5394,59.8558,60.1403,60.4537,60.088,3.863223294,4.010411011,4.157598728,4.304786445,4.304786445,98.81456,100.826915,101.594,96.63285,100.80699,114.409647,168.995331,184.303164,191.058358,151.767219,95.4,93.2,90.9,88.4,85.9,1.827999949,1.644000053,1.470000029,1.470000029,1.583999991,37.09524536,34.5,39.24691772,40.32868958,41.41095734,4.977,4.906,4.836,4.767,4.7,68.0,68.0,68.0,68.0,65.0,94.8290854459268,95.085492611413,95.3772047366391,95.699388968029,95.6994808935357,41.0,41.0,40.0,39.0,36.0,7.6,7.9,8.1,7.7,7.4
BFA,Burkina Faso,854.0,59.3262,59.5361,60.0466,60.0391,59.7306,1.602925003,1.761222512,1.91952002,2.114962259,2.114962259,98.316135,104.243617,103.823713,98.208717,103.618644,340.114274,-7.696131,200.701559,146.537696,126.448072,97.5,94.1,90.8,87.8,85.0,4.434000015,4.563000202,4.690000057,4.69299984,4.894999981,16.64105606,17.21404266,14.39999962,18.37485504,18.95723915,5.353,5.271,5.189,5.109,5.029,88.0,88.0,88.0,88.0,88.0,78.3047574314716,78.4822170026177,78.6856265274451,78.9247422790987,78.9247368132726,40.0,40.0,41.0,42.0,42.0,12.3,12.4,12.7,14.1,18.0
BGD,Bangladesh,50.0,71.09,71.7879,72.5675,72.8057,71.9678,6.113890171,6.270249844,6.385879993,6.549980164,7.379059792,108.2819,116.000498,122.142365,129.304981,136.211324,2292.19,2009.6,3590.06,2846.37,2551.98,36.1,34.2,32.4,30.7,29.1,4.349999905,4.369999886,4.413000107,4.438000202,5.413000107,75.91999817,88.0,91.80000305,92.19999695,96.19999695,2.09,2.062,2.036,2.011,1.987,97.0,97.0,97.0,97.0,97.0,41.8012189212087,45.0602111400487,45.2600711346385,45.3819431498933,43.9716398838606,26.0,26.0,26.0,28.0,26.0,13.3,12.5,11.5,11.0,11.4
BGR,Bulgaria,100.0,74.8336,74.7992,74.8983,75.0624,73.6453,11.23243999,11.24269962,11.29952653,11.35635344,11.41318035,100.490613,104.336471,107.007477,114.476757,116.637022,635.183163,1483.287541,894.007137,1296.870197,2222.199978,7.7,7.3,7.0,6.6,6.1,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886,100.0,100.0,100.0,100.0,99.69999695,1.54,1.56,1.56,1.58,1.56,92.0,94.0,93.0,95.0,88.0,80.1537493661635,80.2971579265213,79.4763697519418,79.297398408181,78.7835547370671,44.0,43.0,42.0,43.0,41.0,3.5,3.0,2.8,3.0,3.0
BIH,Bosnia and Herzegovina,70.0,76.8083,76.9349,77.0926,77.2412,76.2254,9.692919731,9.752649784,9.812379837,10.17434978,10.53631973,97.8111,99.5009,99.6182,101.0793,101.7047,311.141147,413.371027,598.51228,396.82428,375.874698,6.2,6.1,6.0,5.9,5.7,25.40999985,20.53000069,18.39999962,15.68999958,15.26500034,100.0,100.0,100.0,100.0,100.0,1.286,1.276,1.265,1.254,1.243,68.0,69.0,68.0,68.0,68.0,58.6208183813292,61.2644183657743,59.2661777243117,64.1367387370302,61.5526673338134,35.0,36.0,38.0,38.0,39.0,1.5,1.5,1.5,1.5,1.5
